Frame Number, Sedan, SUV, Total
856, 4, 0, 4
857, 3, 1, 4
858, 3, 1, 4
859, 4, 0, 4
860, 3, 1, 4
861, 4, 0, 4
862, 3, 1, 4
863, 4, 0, 4
864, 2, 2, 4
865, 3, 1, 4
866, 4, 0, 4
867, 4, 0, 4
868, 3, 1, 4
869, 2, 3, 5
870, 2, 1, 3
871, 2, 2, 4
872, 2, 1, 3
873, 3, 1, 4
874, 3, 2, 5
875, 4, 1, 5
876, 3, 1, 4
877, 3, 2, 5
878, 2, 2, 4
879, 2, 3, 5
880, 2, 3, 5
881, 2, 3, 5
882, 2, 3, 5
883, 4, 2, 6
884, 3, 1, 4
885, 2, 2, 4
886, 1, 3, 4
887, 2, 2, 4
888, 2, 2, 4
889, 2, 2, 4
890, 1, 3, 4
891, 3, 1, 4
892, 1, 3, 4
893, 2, 2, 4
894, 2, 2, 4
895, 1, 3, 4
896, 3, 1, 4
897, 2, 2, 4
898, 1, 3, 4
899, 4, 0, 4
900, 1, 3, 4
